ItemName;ItemCode;Empresa;CreateDate;UpdateDate;u_coleccion;u_estilo;u_genero;u_descripcion;u_descrip_color;u_division;u_sellitem;BarCode;bot_type
43751/GIZEH BFBC BIRKENSTOCK/40/MOCHA;140000034131768;SBO_00_DISRESALV;14/05/2024 0:00;25/09/2024 0:00;Core Essential;43751;UNISEX;GIZEH BFBC BIRKENSTOCK;MOCHA;CLASSIC;1;736400000000.0;BIRKEN
1028366/ARIZONA PLATAFORM FLEX LENB/42/DARK TEA;110001274111968;SBO_00_DISRESALV;03/11/2024 0:00;05/05/2025 0:00;Seasonal;1028366;WOMENS;ARIZONA PLATAFORM FLEX LENB;DARK TEA;CLASSIC;1;192762000000.0;BIRKEN
1028424/ARIZONA PLATFORM FLEX BF/38/METALLIC TAUPE;110001284031568;SBO_00_DISRESALV;03/11/2024 0:00;08/11/2024 0:00;Seasonal;1028424;WOMENS;ARIZONA PLATFORM FLEX BF;METALLIC TAUPE;CLASSIC;1;192762000000.0;BIRKEN
1028424/ARIZONA PLATFORM FLEX BF/42/METALLIC TAUPE;110001284031968;SBO_00_DISRESALV;03/11/2024 0:00;05/05/2025 0:00;Seasonal;1028424;WOMENS;ARIZONA PLATFORM FLEX BF;METALLIC TAUPE;CLASSIC;1;192762000000.0;BIRKEN
1028432/ARIZONA PLATAFORM FLEX LENB/42/ZINFANDEL;110001294071968;SBO_00_DISRESALV;03/11/2024 0:00;05/05/2025 0:00;Seasonal;1028432;WOMENS;ARIZONA PLATAFORM FLEX LENB;ZINFANDEL;CLASSIC;1;192762000000.0;BIRKEN
1028024/ARIZONA LENB/38/CROCUS;110001314081568;SBO_00_DISRESALV;10/02/2025 0:00;05/05/2025 0:00;Seasonal;1028024;WOMENS;ARIZONA LENB;CROCUS;CLASSIC;1;192762000000.0;BIRKEN
1028024/ARIZONA LENB/39/CROCUS;110001314081668;SBO_00_DISRESALV;10/02/2025 0:00;25/03/2025 0:00;Seasonal;1028024;WOMENS;ARIZONA LENB;CROCUS;CLASSIC;1;192762000000.0;BIRKEN
1028024/ARIZONA LENB/40/CROCUS;110001314081768;SBO_00_DISRESALV;10/02/2025 0:00;05/05/2025 0:00;Seasonal;1028024;WOMENS;ARIZONA LENB;CROCUS;CLASSIC;1;192762000000.0;BIRKEN
1027404/ARIZONA EVA/41/SURF GREEN;140001234091868;SBO_00_DISRESALV;03/11/2024 0:00;05/05/2025 0:00;Seasonal;1027404;UNISEX;ARIZONA EVA;SURF GREEN;ACTIVE;1;192762000000.0;BIRKEN
51191/ARIZONA NL/37/BLACK;140001304051468;SBO_00_DISRESALV;10/02/2025 0:00;05/05/2025 0:00;Seasonal;51191;UNISEX;ARIZONA NL;BLACK;CLASSIC;1;736399000000.0;BIRKEN
51191/ARIZONA NL/38/BLACK;140001304051568;SBO_00_DISRESALV;10/02/2025 0:00;05/05/2025 0:00;Seasonal;51191;UNISEX;ARIZONA NL;BLACK;CLASSIC;1;736399000000.0;BIRKEN
51191/ARIZONA NL/39/BLACK;140001304051668;SBO_00_DISRESALV;10/02/2025 0:00;05/05/2025 0:00;Seasonal;51191;UNISEX;ARIZONA NL;BLACK;CLASSIC;1;736399000000.0;BIRKEN
51191/ARIZONA NL/40/BLACK;140001304051768;SBO_00_DISRESALV;10/02/2025 0:00;05/05/2025 0:00;Seasonal;51191;UNISEX;ARIZONA NL;BLACK;CLASSIC;1;736399000000.0;BIRKEN
