U_Estilo;U_Descrip_Color;U_Descripcion;Empresa;U_Division;U_Coleccion;U_Genero
1028049;0;ZERMATT SHEAR FE HERRINGBONE DARK GREY;SBO_00_DISRESALV;HOMESHOES;SEASONAL;UNISEX
1020029;0;ZERMATT SHEARLING FE EGGNOG;SBO_00_DISRESALV;HOMESHOES;SEASONAL;UNISEX
1026246;0;COTTON CREW STRIPE BLACK;SBO_00_DISRESALV;ACCESSOIRES;SEASONAL;UNISEX
1026209;0;COTTON CREW STRIPE EGGSHELL;SBO_00_DISRESALV;ACCESSOIRES;SEASONAL;UNISEX
1026271;0;COTTON CREW STRIPE WHITE;SBO_00_DISRESALV;ACCESSOIRES;SEASONAL;UNISEX
1002443;0;COTTON TWIST W BLACK;SBO_00_DISRESALV;ACCESSOIRES;SEASONAL;WOMENS
1002545;0;COTTON TWIST M BLACK;SBO_00_DISRESALV;ACCESSOIRES;SEASONAL;MENS
1002548;0;COTTON TWIST M LIGHT GRAY;SBO_00_DISRESALV;ACCESSOIRES;SEASONAL;MENS
1002446;0;COTTON TWIST W LIGHT GRAY;SBO_00_DISRESALV;ACCESSOIRES;SEASONAL;WOMENS
1002445;0;COTTON TWIST W BLUE;SBO_00_DISRESALV;ACCESSOIRES;SEASONAL;WOMENS
1002547;0;COTTON TWIST M BLUE;SBO_00_DISRESALV;ACCESSOIRES;SEASONAL;MENS
1023657;0;COTTON TWIST W OFFWHITE;SBO_00_DISRESALV;ACCESSOIRES;SEASONAL;WOMENS
1023658;0;COTTON TWIST M OFFWHITE;SBO_00_DISRESALV;ACCESSOIRES;SEASONAL;MENS
1001259;0;FUSSBETTSOHLE BIRKO TEX BLAU;SBO_00_DISRESALV;ORTHOPEDICS;CORE ESSENTIAL;UNISEX
1001243;0;FUSSBETTSOHLE ZEHENFREI LEDER SCHMAL;SBO_00_DISRESALV;ORTHOPEDICS;CORE ESSENTIAL;UNISEX
1001284;0;BIRKO ACTIVE;SBO_00_DISRESALV;ORTHOPEDICS;CORE ESSENTIAL;UNISEX
1201127;0;ERSATZFUSSBETT FUER SUPER-BIRKI 503;SBO_00_DISRESALV;ORTHOPEDICS;CORE ESSENTIAL;UNISEX
1001113;0;BIRKO SPORT;SBO_00_DISRESALV;ORTHOPEDICS;CORE ESSENTIAL;UNISEX
1001297;0;BIRKO CONTACT SPORT;SBO_00_DISRESALV;ORTHOPEDICS;CORE ESSENTIAL;UNISEX
1001262;0;STAR-PELOTTE DOPPELGRÖßE;SBO_00_DISRESALV;ORTHOPEDICS;CORE ESSENTIAL;UNISEX
1001270;0;FUSSBETTSOHLE BIRKO TEX ZEHENFREI SCHMAL;SBO_00_DISRESALV;ORTHOPEDICS;CORE ESSENTIAL;UNISEX
1001156;0;BLAUES FUSSBETT TRADITION NORMAL;SBO_00_DISRESALV;ORTHOPEDICS;CORE ESSENTIAL;UNISEX
1001157;0;BLAUES FUSSBETT TRADITION MITTEL;SBO_00_DISRESALV;ORTHOPEDICS;CORE ESSENTIAL;UNISEX
1001158;0;BLAUES FUSSBETT TRADITION SCHMAL;SBO_00_DISRESALV;ORTHOPEDICS;CORE ESSENTIAL;UNISEX
1001172;0;BLAUES FUSSBETT SPORT NORMAL;SBO_00_DISRESALV;ORTHOPEDICS;CORE ESSENTIAL;UNISEX
1001173;0;BLAUES FUSSBETT SPORT MITTEL;SBO_00_DISRESALV;ORTHOPEDICS;CORE ESSENTIAL;UNISEX
1001174;0;BLAUES FUSSBETT SPORT SCHMAL;SBO_00_DISRESALV;ORTHOPEDICS;CORE ESSENTIAL;UNISEX
1001197;0;BIRKO BALANCE NORMAL;SBO_00_DISRESALV;ORTHOPEDICS;CORE ESSENTIAL;UNISEX
1001198;0;BIRKO BALANCE SCHMAL;SBO_00_DISRESALV;ORTHOPEDICS;CORE ESSENTIAL;UNISEX
1021145;0;BIRKO BASIC (1/2), UNBEZOGEN(BIRKOFLEX);SBO_00_DISRESALV;ORTHOPEDICS;CORE ESSENTIAL;UNISEX
1021259;0;BIRKO BASIC (1/2), UNBEZOGEN(BIRKOFLEX);SBO_00_DISRESALV;ORTHOPEDICS;CORE ESSENTIAL;UNISEX
1028317;0;BOSTON CHUNKY LEVE BLACK;SBO_00_DISRESALV;N/A;SEASONAL;WOMENS
1028403;0;ARIZONA CHUNKY LEVE BLACK;SBO_00_DISRESALV;N/A;SEASONAL;WOMENS
1028367;0;ARIZONA CHUNKY LEVE GREEN TEA;SBO_00_DISRESALV;N/A;SEASONAL;WOMENS
1027182;0;PROFI BIRKI FUSION PU BLACK;SBO_00_DISRESALV;PROFESSIONAL;CORE ESSENTIAL;UNISEX
