KEY;U_Temporalidad;U_Segmento;U_Estilo;MVP;U_Descripcion;Grid;Size;UPC/EAN;Region;From Month;Delivery From;PLC;U_Genero;Line;U_Coleccion_NE;Onfield;Silhouette Group;U_Silueta;Family;Sport;U_Liga;U_Team;U_Descrip_Color;Production Season;Composition;Segmentation;Plant;Descr Español;Color Español;Mkt Initiative Range;Key Look ID;Price;Cost;Bill To;Customer Name;Commercial Name;Channel;Commercial Discount;Sales Manager (G1-G10);SALES EXECUTIVE;Execution Month;Total Units;  $$  ;PO;Delivery Date;Launch Month;Reference;Comments;Period;ICD;Vendor;PAÍS DE ORIGEN;LIST PRICE;SHIP TO;SD;COMPRA;;
60564140L9605467;FW 24;APPAREL;60564140;0;M L2B JKT F3 E1367BG26 OAKATH OTC;5S-3XL NEW;L;198058699922;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;OAKLAND ATHLETICS;DARK GREEN;5X1;0;LIFESTYLE;9008;;VERDE;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;30;$3,750.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
60564140XL9605467;FW 24;APPAREL;60564140;0;M L2B JKT F3 E1367BG26 OAKATH OTC;5S-3XL NEW;XL;198058699953;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;OAKLAND ATHLETICS;DARK GREEN;5X1;0;LIFESTYLE;9008;;VERDE;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;15;$1,875.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
60564166S9605467;FW 24;APPAREL;60564166;0;M L2B JKT F3 E1367BG26 LOSDOD BRW;5S-3XL NEW;S;198058701861;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;LOS ANGELES DODGERS;DARK BROWN;5X1;0;LIFESTYLE;9008;;CAFÉ;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;15;$1,875.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
60564166M9605467;FW 24;APPAREL;60564166;0;M L2B JKT F3 E1367BG26 LOSDOD BRW;5S-3XL NEW;M;198058701854;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;LOS ANGELES DODGERS;DARK BROWN;5X1;0;LIFESTYLE;9008;;CAFÉ;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;30;$3,750.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
60564166L9605467;FW 24;APPAREL;60564166;0;M L2B JKT F3 E1367BG26 LOSDOD BRW;5S-3XL NEW;L;198058701847;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;LOS ANGELES DODGERS;DARK BROWN;5X1;0;LIFESTYLE;9008;;CAFÉ;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;30;$3,750.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
60564166XL9605467;FW 24;APPAREL;60564166;0;M L2B JKT F3 E1367BG26 LOSDOD BRW;5S-3XL NEW;XL;198058701878;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;LOS ANGELES DODGERS;DARK BROWN;5X1;0;LIFESTYLE;9008;;CAFÉ;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;15;$1,875.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
60564181S9605467;FW 24;APPAREL;60564181;0;M L2B JKT F3 E1367BG26 NEYYAN BLK;5S-3XL NEW;S;198058700246;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;NEW YORK YANKEES;BLACK;5X1;0;LIFESTYLE;9008;;NEGRO;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;15;$1,875.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
60564181M9605467;FW 24;APPAREL;60564181;0;M L2B JKT F3 E1367BG26 NEYYAN BLK;5S-3XL NEW;M;198058700239;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;NEW YORK YANKEES;BLACK;5X1;0;LIFESTYLE;9008;;NEGRO;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;30;$3,750.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
60564181L9605467;FW 24;APPAREL;60564181;0;M L2B JKT F3 E1367BG26 NEYYAN BLK;5S-3XL NEW;L;198058700222;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;NEW YORK YANKEES;BLACK;5X1;0;LIFESTYLE;9008;;NEGRO;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;30;$3,750.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
60564181XL9605467;FW 24;APPAREL;60564181;0;M L2B JKT F3 E1367BG26 NEYYAN BLK;5S-3XL NEW;XL;198058700253;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;NEW YORK YANKEES;BLACK;5X1;0;LIFESTYLE;9008;;NEGRO;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;15;$1,875.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
605147837009713000;FW 24;HEADWEAR;60514783;0;5950 COLOR PACK CHIBUL STN;612-834;700;198059184229;NORTH AMERICA;JULY;8/07/2024;6M;UNISEX;SEASONAL COLLECTION;COLOR PACK;;5950;5950;;BASKETBALL;NBA;CHICAGO BULLS;LIGHT BEIGE;6A1;"""CROWN, VISOR & BUTTON: 100% POLYESTER, UNDERVISOR: 100% COTTON""";LIFESTYLE;9008;;;;; $41.99 ; $13.44 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES/WHLS;68%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;18;$241.92;4500429773;5/08/2024;;BANGLADESH 81;;;22/04/2024;209920 WINTAX TRADING LIMITED;BANGLADESH;21;2107499;9713930;PBK NA FW24;;
